	location	main_page	source_name	data_page	error_msg	comment
137	CA.Ventura	https://docs.google.com/spreadsheets/d/1CwZA4RPNf_hUrwzNLyGGNHRlh1cwl8vDHwIoae51Hac/gviz/tq?tqx=out:csv&sheet=master	cds			
138	CA.Yolo	https://docs.google.com/spreadsheets/d/1CwZA4RPNf_hUrwzNLyGGNHRlh1cwl8vDHwIoae51Hac/gviz/tq?tqx=out:csv&sheet=master	cds			
139	CA.Yuba	https://docs.google.com/spreadsheets/d/1CwZA4RPNf_hUrwzNLyGGNHRlh1cwl8vDHwIoae51Hac/gviz/tq?tqx=out:csv&sheet=master	cds			
140	CO.Saguache	https://opendata.arcgis.com/datasets/fbae539746324ca69ff34f086286845b_0.csv	cds			
141	CO.Sedgwick	https://opendata.arcgis.com/datasets/fbae539746324ca69ff34f086286845b_0.csv	cds			
142	CO.Cheyenne	https://opendata.arcgis.com/datasets/fbae539746324ca69ff34f086286845b_0.csv	cds			
143	CO.Custer	https://opendata.arcgis.com/datasets/fbae539746324ca69ff34f086286845b_0.csv	cds			
144	CO.La_Plata	https://opendata.arcgis.com/datasets/fbae539746324ca69ff34f086286845b_0.csv	cds			
145	CO.San_Juan	https://opendata.arcgis.com/datasets/fbae539746324ca69ff34f086286845b_0.csv	cds			
146	CO.Pitkin	https://opendata.arcgis.com/datasets/fbae539746324ca69ff34f086286845b_0.csv	cds			
147	CO.Park	https://opendata.arcgis.com/datasets/fbae539746324ca69ff34f086286845b_0.csv	cds			
148	CO.Alamosa	https://opendata.arcgis.com/datasets/fbae539746324ca69ff34f086286845b_0.csv	cds			
149	CO.Prowers	https://opendata.arcgis.com/datasets/fbae539746324ca69ff34f086286845b_0.csv	cds			
150	CO.Moffat	https://opendata.arcgis.com/datasets/fbae539746324ca69ff34f086286845b_0.csv	cds			
151	CO.Jefferson	https://opendata.arcgis.com/datasets/fbae539746324ca69ff34f086286845b_0.csv	cds			
152	CO.Summit	https://opendata.arcgis.com/datasets/fbae539746324ca69ff34f086286845b_0.csv	cds			
153	CO.Pueblo	https://opendata.arcgis.com/datasets/fbae539746324ca69ff34f086286845b_0.csv	cds			
154	CO.Boulder	https://opendata.arcgis.com/datasets/fbae539746324ca69ff34f086286845b_0.csv	cds			
155	CO.Denver	https://opendata.arcgis.com/datasets/fbae539746324ca69ff34f086286845b_0.csv	cds			
156	CO.Montrose	https://opendata.arcgis.com/datasets/fbae539746324ca69ff34f086286845b_0.csv	cds			
157	CO.Eagle	https://opendata.arcgis.com/datasets/fbae539746324ca69ff34f086286845b_0.csv	cds			
158	CO.San_Miguel	https://opendata.arcgis.com/datasets/fbae539746324ca69ff34f086286845b_0.csv	cds			
159	CO.Costilla	https://opendata.arcgis.com/datasets/fbae539746324ca69ff34f086286845b_0.csv	cds			
160	CO.Broomfield	https://opendata.arcgis.com/datasets/fbae539746324ca69ff34f086286845b_0.csv	cds			
161	CO.Chaffee	https://opendata.arcgis.com/datasets/fbae539746324ca69ff34f086286845b_0.csv	cds			
162	CO.Crowley	https://opendata.arcgis.com/datasets/fbae539746324ca69ff34f086286845b_0.csv	cds			
163	CO.Fremont	https://opendata.arcgis.com/datasets/fbae539746324ca69ff34f086286845b_0.csv	cds			
164	CO.Huerfano	https://opendata.arcgis.com/datasets/fbae539746324ca69ff34f086286845b_0.csv	cds			
165	CO.Delta	https://opendata.arcgis.com/datasets/fbae539746324ca69ff34f086286845b_0.csv	cds			
166	CO.Garfield	https://opendata.arcgis.com/datasets/fbae539746324ca69ff34f086286845b_0.csv	cds			
167	CO.Rio_Blanco	https://opendata.arcgis.com/datasets/fbae539746324ca69ff34f086286845b_0.csv	cds			
168	CO.Morgan	https://opendata.arcgis.com/datasets/fbae539746324ca69ff34f086286845b_0.csv	cds			
169	CO.Lincoln	https://opendata.arcgis.com/datasets/fbae539746324ca69ff34f086286845b_0.csv	cds			
